News_Title,News_Link
"राजस्थान में पहली बार देखी गई नई प्रजाति की व्हाइट,ब्रोड बुलबुल, जैव विविधता में हो रहा इजाफा",https://rajasthan.ndtv.in/photos/devotional-atmosphere-in-salasar-balaji-dham-on-sharad-purnima-106311#pfrom=home-ndtv_raj_ndtv.in
शरद पूर्णिमा पर सालासर बालाजी धाम में भक्ति का माहौल,https://rajasthan.ndtv.in/photos/devotional-atmosphere-in-salasar-balaji-dham-on-sharad-purnima-106311#pfrom=home-ndtv_raj_ndtv.in
"ED की कार्रवाई के विरोध में NSUI का उग्र प्रदर्शन, PM मोदी का पुतला फूंका, रोकीं अधिकारियों की गाड़ियां",https://rajasthan.ndtv.in/photos/nsuis-fierce-protest-against-ed-action-burnt-pm-modis-effigy-stopped-officers-vehicles-106308#pfrom=home-ndtv_raj_ndtv.in
Rajasthan Election चुनाव को लेकर चुरू के युवा वोटर्स का क्या है मूड ?,https://rajasthan.ndtv.in/videos/rajasthan-election-what-is-the-mood-of-the-young-voters-of-churu-regarding-the-elections-735559#pfrom=home-ndtv_raj_ndtv.in
"देवजी पटेल और नरपत सिंह के विरोध में बगावत, ये नेता करेंगे शक्ति प्रदर्शन",https://rajasthan.ndtv.in/videos/revolt-against-devji-patel-and-narpat-singh-these-leaders-will-show-strength-735535#pfrom=home-ndtv_raj_ndtv.in
"Rajasthan गहलोत सरकार का राज्यकर्मियों को बड़ा तोहफा, 4% बढ़ गया डीए",https://rajasthan.ndtv.in/videos/rajasthan-gehlot-government-s-big-gift-to-state-employees-da-increased-by-4-735529#pfrom=home-ndtv_raj_ndtv.in
"Here's How to Get iPhone 14 Under Rs. 50,000 During Flipkart Big Diwali Sale",https://www.gadgets360.com/internet/news/iphone-14-rs-49999-flipkart-big-diwali-sale-deal-bank-offers-how-it-works-4531220
OnePlus Open First Impressions It's Finally Here!,https://www.gadgets360.com/mobiles/reviews/oneplus-open-first-impressions-foldable-price-specifications-india-4496094
"Apple लाई नए मैकबुक, 16 इंच डिस्‍प्‍ले, 22 घंटों की बैटरी लाइफ, जानें दाम",https://hindi.gadgets360.com/pc-laptop/apple-new-macbook-pro-price-in-india-starts-rs-169900-with-m3-chips-16-inch-display-22-hours-battery-life-news-4530258
Amazon Great Indian Festival Sale 2023 Best Milk Frothers To Shop For Creamy Mouthfeel,https://hotdeals360.com/events/amazon-great-indian-festival-sale-2023-best-milk-frothers-to-shop-for-creamy-mouthfeel-4529435
"""You Are The Glamour"" When A Director Told Zeenat Aman",https://www.ndtv.com/entertainment/when-a-director-said-to-zeenat-aman-you-are-the-glamour-the-internet-approves-4530307#pfrom=home-ndtv_movies
"Ram Charan, Allu Arjun At Varun,Lavanya's Cocktail",https://www.ndtv.com/entertainment/viral-ram-charan-allu-arjun-at-varun-tej-lavanya-tripathis-cocktail-night-4530554#pfrom=home-ndtv_movies
"""Gone Too Soon"" To Matthew Perry, From Salma Hayek",https://www.ndtv.com/entertainment/salma-hayek-talks-about-her-special-bond-with-matthew-perry-4530134#pfrom=home-ndtv_movies
"Sunny Deol To Team Up With Abbas,Mustan Report",https://www.ndtv.com/entertainment/sunny-deol-to-team-up-with-abbas-mustan-for-the-first-time-report-4531054#trendingnow#pfrom=home-ndtv_movies
Ananya's Birthday Pics Get Big Love From Ranveer Singh,https://www.ndtv.com/entertainment/ananya-pandays-birthday-pics-from-maldives-get-big-love-from-ranveer-singh-ayushmann-khurrana-4530116#pfrom-movies-topstories#pfrom=home-ndtv_movies
"लौहपुरुष सरदार पटेल की जयंती पर पीएम मोदी ने स्टैच्यू ऑफ यूनिटी पर दी श्रद्धांजलि, एकता की ली शपथ",https://ndtv.in/india/pm-narendra-modi-pay-tributes-sardar-vallabhbhai-patel-on-birth-anniversary-4529924#pfrom=home-ndtv_khabar-ndtvhp
"बिहार किराना दुकान से बिस्किट और कुरकुरे चोरी के आरोप में 4 नाबालिग की पिटाई, घंटों खंभे में बांध कर रखा",https://ndtv.in/india/mob-brutally-thrashes-4-minor-boys-on-suspicion-of-stealing-biscuits-and-chips-in-begusarai-bihar-4529886#pfrom=home-ndtv_khabar-ndtvhp
"मैट्रिमोनियल साइट पर महिला से मिला शख्स, शादी का झांसा देकर किया यौन शोषण, केस दर्ज",https://ndtv.in/india/man-meets-woman-on-matrimonial-site-sexually-exploits-her-and-threatening-to-release-her-personal-photos-and-videos-case-filed-4530007#pfrom=home-ndtv_khabar-ndtvhp
"भारत ने चीन, पाक सीमा पर एस,400 मिसाइल यूनिट तैनात की, जल्द रूसी अधिकारियों संग बैठक",https://ndtv.in/india/india-deploys-three-s-400-missile-units-on-china-pakistan-border-4529881#pfrom=home-ndtv_khabar-ndtvhp
Watch Rashid's Speech That Propelled Afghanistan To Win Over Sri Lanka,https://sports.ndtv.com/icc-cricket-world-cup-2023/rashid-khans-inspiring-speech-that-propelled-afghanistan-to-victory-over-sri-lanka-watch-4530177#pfrom=home-ndtv_cricket
"""I'm 100% Kiwi And Proud Of..."" NZ Star Rachin Ravindra On 'Indian Roots'",https://sports.ndtv.com/icc-cricket-world-cup-2023/im-100-kiwi-and-proud-of-new-zealand-star-rachin-ravindra-on-his-indian-roots-4524356#pfrom=home-ndtv_cricket
Waqar Younis Fumes As Babar Azam's Alleged WhatsApp Chat Is Leaked,https://sports.ndtv.com/icc-cricket-world-cup-2023/this-is-pathetic-waqar-younis-fumes-as-alleged-babar-azam-chat-is-leaked-on-tv-social-media-4527337#pfrom=home-ndtv_cricket
"""England Can Still Qualify..."" Jaffer Pokes Vaughan, Mocks Buttler's Team",https://sports.ndtv.com/icc-cricket-world-cup-2023/england-can-still-qualify-wasim-jaffer-pokes-michael-vaughan-hilariously-mocks-defending-champions-4527551#pfrom=home-ndtv_cricket
"X User Receives Kitchen Chimney Ordered Online In Pieces, Flipkart Responds",https://food.ndtv.com/news/x-user-receives-kitchen-chimney-ordered-online-in-pieces-flipkart-responds-4530760#pfrom=home-ndtv_recipes
Ramen Or Noodles? No More Confusion! Know Main Differences Between The Two,https://www.ndtv.com/food/ramen-or-noodles-no-more-confusion-know-main-differences-between-the-two-4530855#pfrom=home-ndtv_recipes
Tried Everything To Boost Immunity? These 12 Easy Diet Changes Will Not Fail You,https://food.ndtv.com/health/tried-everything-to-boost-immunity-these-12-easy-diet-changes-will-not-fail-you-4530721#pfrom=home-ndtv_recipes
6 Restaurants And Cafes In Delhi's Dhan Mill Compound That You Must Try,https://food.ndtv.com/food-drinks/6-delicious-eateries-in-delhis-dhan-mill-compound-that-every-foodie-must-try-4530166#pfrom=home-ndtv_recipes
"Alaya In A Sheer Red Dress Is Already Thinking Of ""Santa Szn""",https://www.ndtv.com/lifestyle/before-diwali-2023-even-arrives-alaya-furniturwalla-in-a-sheer-red-bodycon-dress-is-already-thinking-of-santa-szn-4530651#pfrom=home-ndtv_lifestyle
Tania Shroff Goes As Pop Culture Indian Icon The Nirma Girl For Halloween,https://www.ndtv.com/lifestyle/in-a-printed-white-frock-tania-shroff-goes-as-pop-cult-indian-brand-icon-the-washing-powder-nirma-girl-for-her-halloween-2023-costume-4530707#pfrom=home-ndtv_lifestyle
Hailey Bieber Is Sensuous And Spooky As Scary Movie's Carmen Electra,https://www.ndtv.com/lifestyle/hailey-bieber-is-both-sensuous-and-spooky-in-a-white-bikini-set-as-her-halloween-costume-as-carmen-electra-from-scary-movie-4530545#pfrom=home-ndtv_lifestyle
"From Handbags To Lip Balm, 10 Autumn Launches In India You Can't Miss",https://swirlster.ndtv.com/wellness/from-an-india-exclusive-handbag-to-hershey-kisses-lip-balm-10-autumn-launches-in-india-you-cant-miss-4532379#pfrom=home-ndtv_lifestyle
"""Not Thinking About Long,Term Future"" Messi After Winning 8th Ballon d'Or",https://sports.ndtv.com/football/not-thinking-about-long-term-future-lionel-messi-after-claiming-eighth-ballon-dor-4530233#pfrom=home-ndtv_sports
Iga Swiatek Off The Mark With WTA Finals Opening Win,https://sports.ndtv.com/tennis/iga-swiatek-off-the-mark-with-wta-finals-opening-win-4530188#pfrom=home-ndtv_sports
Paris Masters Murray Misses Match Point As De Minaur Jinx Continues,https://sports.ndtv.com/tennis/paris-masters-andy-murray-misses-match-point-as-alex-de-minaur-jinx-continues-4530249#pfrom=home-ndtv_sports
Digestion Try These Homemade Drinks Before Bed To Relieve Constipation,https://www.ndtv.com/health/digestion-try-these-homemade-drinks-before-bed-to-relieve-constipation-4499569#pfrom=home-ndtv_health
10 Health Benefits Of Consuming Jaggery,https://www.ndtv.com/health/10-health-benefits-of-consuming-jaggery-4500589#pfrom=home-ndtv_health
These Ayurvedic Herbs Can Provide Relief From Joint Pain,https://www.ndtv.com/health/world-osteoporosis-day-2023-these-ayurvedic-herbs-can-provide-relief-from-joint-pain-heres-how-4495299#pfrom=home-ndtv_health
Capturing The Divine Exploring Temples In Indian Paintings,https://blog.mojarto.com/exploring-temples-in-indian-paintings/#pfrom=home-ndtv_specialprojects
Buying Indian Paintings Online A Trend Today,https://blog.mojarto.com/buy-indian-paintings-online/#pfrom=home-ndtv_specialprojects
Vastu Paintings 5 Artworks That Exude Positivity For Your Space,https://blog.mojarto.com/vastu-paintings-that-exude-positivity/#pfrom=home-ndtv_specialprojects
Waste Management A Significant Challenge For India And World World Bank,https://swachhindia.ndtv.com/waste-management-a-significant-challenge-for-india-and-world-world-bank-84823/#pfrom=home-ndtv_campaigns
India Is Reaching The Last Mile Through Health and Wellness Centres Union Health Minister,https://swachhindia.ndtv.com/india-is-following-a-holistic-inclusive-approach-to-enhance-healthcare-sector-union-health-minister-84781/#pfrom=home-ndtv_campaigns
"No Relief To People In India, As The Air Quality Continues To Deteriorate In Several States",https://swachhindia.ndtv.com/no-relief-to-people-in-india-as-the-air-quality-continues-to-deteriorate-in-several-states-84828/#pfrom=home-ndtv_campaigns
"Climate Change,Induced Surge In Humidity Fuels Discomfort, Drives Power Demand In Delhi Report",https://swachhindia.ndtv.com/climate-change-induced-surge-in-humidity-fuels-discomfort-drives-power-demand-in-delhi-report-84820/#pfrom=home-ndtv_campaigns
Kailash Satyarthi Foundation Is Involving All Stakeholders To Make India Child Marriage Free,https://special.ndtv.com/justice-for-every-child-87/video-detail/kailash-satyarthi-foundation-is-involving-all-stakeholders-to-make-india-child-marriage-free-706475#pfrom=home-ndtv_campaigns
Stakeholders From Several States Working Towards Eliminating Child Marriages,https://special.ndtv.com/justice-for-every-child-87/video-detail/stakeholders-from-several-states-working-towards-eliminating-child-marriages-706486#pfrom=home-ndtv_campaigns
